ts_open,ts_close,duration_s,dir,size,open_price,close_price,pnl_gross,spread_cost,slippage_cost,commission_cost,swap_cost,total_cost,pnl_net,reason_exit,z_price,state
2016-05-24 01:00:00,2016-05-24 14:00:00,46800.0,buy,0.01,1249.3,1238.2,-11.1,0.25,0.05,0.07,0.08,0.45,-11.55,STOP_LOSS,-1.17,AUDITED
2016-06-24 05:00:00,2016-06-24 07:00:00,7200.0,buy,0.01,1336.7,1319.5,-17.2,0.25,0.05,0.07,0.01,0.38,-17.58,STOP_LOSS,2.38,AUDITED
2016-07-04 05:00:00,2016-07-04 11:00:00,21600.0,buy,0.01,1345.7,1351.6,5.9,0.25,0.05,0.07,0.04,0.41,5.49,ALPHA_EJECT,0.01,AUDITED
2016-07-20 01:00:00,2016-07-20 13:00:00,43200.0,buy,0.01,1332.6,1318.1,-14.5,0.25,0.05,0.07,0.07,0.45,-14.94,STOP_LOSS,-0.04,AUDITED
2016-07-27 21:00:00,2016-07-28 06:00:00,32400.0,buy,0.01,1341.0,1338.66,-2.34,0.25,0.05,0.07,0.06,0.43,-2.77,ALPHA_EJECT,-1.38,AUDITED
2016-09-21 01:00:00,2016-09-26 03:00:00,439200.0,buy,0.01,1315.9,1335.64,19.74,0.25,0.05,0.07,0.76,1.13,18.61,ALPHA_EJECT,-0.32,AUDITED
2016-10-18 01:00:00,2016-10-31 05:00:00,1137600.0,buy,0.01,1255.81,1276.66,20.85,0.25,0.05,0.07,1.98,2.35,18.51,ALPHA_EJECT,-0.1,AUDITED
2016-12-28 01:00:00,2016-12-28 07:00:00,21600.0,buy,0.01,1140.12,1143.66,3.54,0.25,0.05,0.07,0.04,0.41,3.13,ALPHA_EJECT,-0.29,AUDITED
2018-12-20 01:00:00,2018-12-27 09:00:00,633600.0,buy,0.01,1243.93,1266.61,22.68,0.25,0.05,0.07,1.1,1.47,21.21,ALPHA_EJECT,-0.22,AUDITED
2019-01-25 01:00:00,2019-01-28 13:00:00,302400.0,buy,0.01,1281.18,1299.48,18.3,0.25,0.05,0.07,0.53,0.9,17.4,ALPHA_EJECT,-0.35,AUDITED
2019-08-01 01:00:00,2019-08-01 10:00:00,32400.0,buy,0.01,1414.79,1404.43,-10.36,0.25,0.05,0.07,0.06,0.43,-10.79,STOP_LOSS,0.5,AUDITED
2019-08-01 21:00:00,2019-08-05 21:00:00,345600.0,buy,0.01,1439.16,1467.33,28.17,0.25,0.05,0.07,0.6,0.97,27.2,ALPHA_EJECT,0.31,AUDITED
2019-08-23 18:00:00,2019-08-26 08:00:00,223200.0,buy,0.01,1527.98,1542.69,14.71,0.25,0.05,0.07,0.39,0.76,13.95,ALPHA_EJECT,0.18,AUDITED
2019-10-24 01:00:00,2019-10-28 10:00:00,378000.0,buy,0.01,1492.35,1505.54,13.19,0.25,0.05,0.07,0.66,1.03,12.16,ALPHA_EJECT,-0.34,AUDITED
2019-12-23 01:00:00,2019-12-23 11:00:00,36000.0,buy,0.01,1478.42,1484.93,6.51,0.25,0.05,0.07,0.06,0.43,6.08,ALPHA_EJECT,0.21,AUDITED
2019-12-24 01:00:00,2019-12-26 08:00:00,198000.0,buy,0.01,1485.4,1502.8,17.4,0.25,0.05,0.07,0.34,0.71,16.69,ALPHA_EJECT,0.06,AUDITED
2020-02-13 01:00:00,2020-02-20 18:00:00,666000.0,buy,0.01,1569.73,1621.39,51.66,0.25,0.05,0.07,1.16,1.53,50.13,TAKE_PROFIT,0.86,AUDITED
2020-04-06 01:00:00,2020-04-06 19:00:00,64800.0,buy,0.01,1614.54,1651.44,36.9,0.25,0.05,0.07,0.11,0.48,36.42,ALPHA_EJECT,-0.06,AUDITED
2020-04-09 01:00:00,2020-04-13 00:00:00,342000.0,buy,0.01,1647.66,1712.1,64.44,0.25,0.05,0.07,0.59,0.96,63.48,TAKE_PROFIT,-0.77,AUDITED
2020-05-14 01:00:00,2020-05-14 13:00:00,43200.0,buy,0.01,1716.75,1715.45,-1.3,0.25,0.05,0.07,0.07,0.45,-1.74,ALPHA_EJECT,-0.04,AUDITED
2020-06-30 01:00:00,2020-07-02 15:00:00,223200.0,buy,0.01,1773.19,1760.28,-12.91,0.25,0.05,0.07,0.39,0.76,-13.67,STOP_LOSS,-0.2,AUDITED
2020-07-07 01:00:00,2020-07-08 05:00:00,100800.0,buy,0.01,1786.1,1792.81,6.71,0.25,0.05,0.07,0.17,0.55,6.17,ALPHA_EJECT,-0.19,AUDITED
2020-11-23 01:00:00,2020-11-23 16:00:00,54000.0,buy,0.01,1872.0,1841.57,-30.43,0.25,0.05,0.07,0.09,0.46,-30.89,STOP_LOSS,0.68,AUDITED
2020-11-23 18:00:00,2020-11-24 00:00:00,21600.0,buy,0.01,1838.99,1807.38,-31.61,0.25,0.05,0.07,0.04,0.41,-32.02,STOP_LOSS,-1.52,AUDITED
2020-12-31 01:00:00,2020-12-31 06:00:00,18000.0,buy,0.01,1894.92,1888.77,-6.15,0.25,0.05,0.07,0.03,0.4,-6.55,ALPHA_EJECT,0.13,AUDITED
2021-01-04 01:00:00,2021-01-04 06:00:00,18000.0,buy,0.01,1912.99,1922.57,9.58,0.25,0.05,0.07,0.03,0.4,9.18,ALPHA_EJECT,0.11,AUDITED
2021-01-27 01:00:00,2021-01-27 14:00:00,46800.0,buy,0.01,1851.21,1840.82,-10.39,0.25,0.05,0.07,0.08,0.45,-10.84,STOP_LOSS,0.35,AUDITED
2021-02-04 01:00:00,2021-02-04 04:00:00,10800.0,buy,0.01,1834.19,1822.75,-11.44,0.25,0.05,0.07,0.02,0.39,-11.83,STOP_LOSS,0.0,AUDITED
